ts,Open,High,Low,Close,Volume
2026-02-26 09:00:00,1895,1895,1870,1885,503
2026-02-26 09:01:00,1885,1895,1885,1890,88
2026-02-26 09:02:00,1890,1890,1880,1885,68
2026-02-26 09:03:00,1885,1890,1885,1885,35
2026-02-26 09:04:00,1885,1890,1885,1885,44
2026-02-26 09:05:00,1890,1890,1885,1890,11
2026-02-26 09:06:00,1885,1890,1885,1885,11
2026-02-26 09:07:00,1885,1890,1885,1885,12
2026-02-26 09:08:00,1885,1890,1885,1885,37
2026-02-26 09:09:00,1890,1890,1885,1890,27
2026-02-26 09:10:00,1890,1890,1885,1885,61
2026-02-26 09:11:00,1885,1885,1880,1880,169
2026-02-26 09:12:00,1880,1885,1880,1880,19
2026-02-26 09:13:00,1880,1880,1880,1880,45
2026-02-26 09:14:00,1880,1880,1875,1875,37
2026-02-26 09:15:00,1875,1880,1875,1875,45
2026-02-26 09:16:00,1875,1875,1870,1870,32
2026-02-26 09:17:00,1870,1875,1870,1870,22
2026-02-26 09:18:00,1875,1875,1870,1875,5
2026-02-26 09:19:00,1870,1875,1870,1870,15
2026-02-26 09:20:00,1870,1875,1870,1870,20
2026-02-26 09:21:00,1870,1870,1865,1870,54
2026-02-26 09:22:00,1870,1870,1870,1870,53
2026-02-26 09:23:00,1870,1870,1865,1865,7
2026-02-26 09:24:00,1865,1870,1865,1865,10
2026-02-26 09:25:00,1865,1865,1865,1865,40
2026-02-26 09:26:00,1860,1865,1860,1860,18
2026-02-26 09:27:00,1860,1860,1850,1850,120
2026-02-26 09:28:00,1850,1855,1850,1855,41
2026-02-26 09:29:00,1855,1860,1850,1860,68
2026-02-26 09:30:00,1855,1860,1850,1850,47
2026-02-26 09:31:00,1850,1855,1850,1850,14
2026-02-26 09:32:00,1855,1865,1855,1865,40
2026-02-26 09:33:00,1865,1865,1860,1865,11
2026-02-26 09:34:00,1865,1865,1860,1865,7
2026-02-26 09:35:00,1860,1865,1860,1865,12
2026-02-26 09:36:00,1860,1865,1860,1860,9
2026-02-26 09:37:00,1865,1865,1855,1860,39
2026-02-26 09:38:00,1860,1860,1855,1855,9
2026-02-26 09:39:00,1855,1860,1855,1860,11
2026-02-26 09:40:00,1860,1860,1855,1855,3
2026-02-26 09:41:00,1860,1860,1855,1860,18
2026-02-26 09:42:00,1860,1860,1855,1860,19
2026-02-26 09:43:00,1860,1865,1860,1865,68
2026-02-26 09:44:00,1870,1870,1865,1865,13
2026-02-26 09:45:00,1865,1880,1865,1875,119
2026-02-26 09:46:00,1880,1885,1875,1880,147
2026-02-26 09:47:00,1880,1885,1880,1880,11
2026-02-26 09:48:00,1885,1885,1880,1880,10
2026-02-26 09:49:00,1880,1890,1880,1890,126
2026-02-26 09:50:00,1890,1890,1885,1885,53
